id,activity_type,distance_miles,moving_time,average_heartrate,max_heartrate
9200,Run,5.51,45.45,149.9,183
9201,Run,6.01,50.07,153.8,172
9202,Run,2.01,19.22,157.8,173
9203,Run,1.05,9.73,145.3,168
9204,Run,0.56,5.4,150.2,158
9205,Run,1.32,11.03,160.2,173
9206,Run,4.86,39.72,146.8,161
9207,Run,3.61,30.03,151.2,175
9208,Run,6.02,48.25,160,183
9209,Run,1,9.7,172.6,186
9210,Run,0.67,2.95,159.8,171
9211,Run,1.04,7.98,140,172
9212,Run,8.02,63.73,155.2,173
9213,Run,3.59,31.03,145.2,161
9214,Run,1.5,12.47,144.7,154
9215,Run,4.02,28.1,145.4,184
9216,Run,1.5,11.98,145.8,162
9217,Run,7.09,58.98,155.4,173
9218,Run,6.04,48.07,142.5,172
9219,Run,1.18,10.67,176.7,186
9220,Run,0.68,2.97,174.6,193
9221,Run,1.1,7.38,0,0
9222,Run,1.28,10.82,140.2,154
9223,Run,2.03,16.65,144.9,170
9224,Run,1.16,10.05,133.4,145
9225,Run,5.03,40.18,147.6,173
9226,Run,3.69,30.23,154.8,172
9227,Run,5.01,43.4,162.2,185
9228,Run,0.11,0.63,121.1,153
9229,Run,1.06,8.93,146.9,167
9230,Run,6.07,48.15,158.4,185
9231,Run,6.04,49.15,157.6,173
9232,Run,5.21,39.55,171.8,195
9233,Run,1.02,8.25,150.4,172
9234,Run,1.01,8.42,161.6,173
9235,Run,1.1,10.03,144.5,169
9236,Run,8.01,66.47,151.7,175
9237,Run,5.25,39.57,155.7,196
9238,Run,5.05,40.2,147.2,173
9239,Run,4.9,39.03,0,0
9240,Run,3.02,24,167.3,179
9241,Run,1.02,7.87,143.1,148
9242,Run,3,25.9,163.4,176
9243,Run,1.03,7.37,139.8,153
9244,Run,3,28.08,144.7,172
9245,Run,7.03,58.37,162.7,184
9246,Run,2.03,16.2,156.5,171
9247,Run,5.03,39.07,159.2,184
9248,Run,4.02,33.37,150.5,175
9249,Run,4.08,32.68,155.4,171
9250,Run,5.22,42.35,155.3,172
9251,Run,1.87,15.68,136.3,170
9252,Run,6.02,48.9,163.5,185
9253,Run,4.1,33.43,158,174
9254,Run,1.06,9.03,155,170
9255,Run,1.33,9.83,169.5,189
9256,Run,1.7,11.1,146.5,174
9257,Run,4.95,37.67,173.4,203
9258,Run,1.61,13.67,172.3,180
9259,Run,1.06,5.3,164.9,177
9260,Run,1.01,7.9,143.8,163
9261,Run,1.01,8.6,144.4,161
9262,Run,3.11,25.6,154.8,174
9263,Run,5.02,41.52,143.7,161
9264,Run,3.04,24.5,150.2,172
9265,Run,3.03,24.9,143.9,178
9266,Run,3.02,25.6,144.8,158
9267,Run,3.59,29.85,152.9,185
9268,Run,4,32.03,161.8,178
9269,Run,3.78,30.08,161.3,188
9270,Run,3.15,25.05,156.6,184
9271,Run,3.01,24.38,150.8,172
9272,Run,1.25,10.13,146.5,175
9273,Run,3.39,30.25,154.2,175
9274,Run,0.7,6.47,147.2,155
9275,Run,1.93,15.63,158.9,178
9276,Run,3.01,23.55,150.8,169
9277,Run,10.03,76.82,162.6,183
9278,Run,5.31,41.58,157.6,185
9279,Run,4.37,35.17,140.5,159
9280,Run,3.11,18.25,0,0
9281,Run,2.36,20.42,144.8,172
9282,Run,3.69,30.1,162.1,178
9283,Run,8.01,66.43,150,176
9284,Run,5.05,40.58,151.8,169
9285,Run,8.01,66.72,149.4,172
9286,Run,8.02,62.93,158.7,185
9287,Run,7.03,56.12,152.5,173
9288,Run,2,17.13,153.3,173
9289,Run,1.03,6.77,155.1,173
9290,Run,4.97,39.33,146.8,174
9291,Run,4.01,32.95,150.8,175
9292,Run,12.01,98.42,154.9,177
9293,Run,2,15,0,0
9294,Run,8.12,62.87,152.7,175
9295,Run,8.04,63.33,147.8,178
9296,Run,5.03,43.85,149.8,178
9297,Run,3.04,26.82,162.7,177
9298,Run,4.94,37.03,164.8,202
9299,Run,8.02,64.18,159.2,177
9300,Run,3.01,24.33,142.3,175
9301,Run,6.04,47.85,0,0
9302,Run,5.05,39.1,0,0
9303,Run,5.1,38.47,0,0
9304,Run,2.45,20.42,0,0
9305,Run,1.68,11.03,0,0
9306,Run,2.02,15.63,0,0
9307,Run,5,39.42,0,0
9308,Run,3,16.83,0,0
9309,Run,1.57,13.78,0,0
9310,Run,5.03,39.98,0,0
9311,Run,8.08,66.3,0,0
9312,Run,1.63,14.52,0,0
9313,Run,2.61,24.07,0,0
9314,Run,3.12,20.38,0,0
9315,Run,0.77,6.43,0,0
9316,Run,8.12,70.15,0,0
9317,Run,8.65,69.72,0,0
9318,Run,14.3,116.37,0,0
9319,Run,7.02,65.05,0,0
9320,Run,3.2,21.22,0,0
9321,Run,5.36,42.23,0,0
9322,Run,3,23.18,0,0
9323,Run,2.15,15.18,0,0
9324,Run,8.16,68.92,0,0
9325,Run,4.36,39.32,0,0
9326,Run,3.29,21.45,0,0
9327,Run,1.46,11.68,0,0
9328,Run,12.07,95.63,0,0
9329,Run,8.05,65.02,0,0
9330,Run,8.1,65.63,0,0
9331,Run,6.6,51.07,0,0
9332,Run,1.47,12.1,0,0
9333,Run,8.04,70.67,0,0
9334,Run,6.05,46.7,0,0
9335,Run,2,16.1,0,0
9336,Run,8.14,65.8,0,0
9337,Run,8.53,70.02,0,0
9338,Run,13.12,105.7,0,0
9339,Run,7.31,60.55,0,0
9340,Run,2.17,19.35,0,0
9341,Run,3.04,18.72,0,0
9342,Run,1.63,12.73,0,0
9343,Run,8,60.65,0,0
9344,Run,8.05,65.28,0,0
9345,Run,5.74,48.22,0,0
9346,Run,1.16,6.08,0,0
9347,Run,1.48,11.55,0,0
9348,Run,9.06,70.02,0,0
9349,Run,12.1,90.97,0,0
9350,Run,8.55,70.37,0,0
9351,Run,8.78,70.03,0,0
9352,Run,1.03,8.97,0,0
9353,Run,3.12,19.62,0,0
9354,Run,1.08,9.17,0,0
9355,Run,7.45,60.22,0,0
9356,Run,3.03,22.48,0,0
9357,Run,10.08,78.42,0,0
9358,Run,7.49,60.45,0,0
9359,Run,7.55,61.03,0,0
9360,Run,1.27,11.03,0,0
9361,Run,3.07,19.25,0,0
9362,Run,0.88,6.82,0,0
9363,Run,7.63,60.3,0,0
9364,Run,7.77,60.17,0,0
9365,Run,8.51,60.27,0,0
9366,Run,9.11,72.12,0,0
9367,Run,5.01,45.28,0,0
9368,Run,7.24,61.05,0,0
9369,Run,7.87,62.18,0,0
9370,Run,6.5,52.12,0,0
9371,Run,9.03,70.48,0,0
9372,Run,5.05,45.05,0,0
9373,Run,12.05,95.73,0,0
9374,Run,7.55,60.13,0,0
9375,Run,7.79,65.18,0,0
9376,Run,7.84,61.82,0,0
9377,Run,7.73,60.28,0,0
9378,Run,1,8.42,0,0
9379,Run,3.77,32.07,0,0
9380,Run,8.14,60.48,0,0
9381,Run,10.18,79.63,0,0
9382,Run,7.37,60.12,0,0
9383,Run,7.75,60.35,0,0
9384,Run,7.56,60.22,0,0
9385,Run,7.61,61.07,0,0
9386,Run,7.85,60.13,0,0
9387,Run,7.54,61.08,0,0
9388,Run,8.45,71.62,0,0
9389,Run,6.83,60.77,0,0
9390,Run,7.43,61,0,0
9391,Run,7.37,61.57,0,0
9392,Run,7.29,60.35,0,0
9393,Run,7.43,61.52,0,0
9394,Run,7.79,60.98,0,0
9395,Run,7.66,60.82,0,0
9396,Run,6.65,50.58,0,0
9397,Run,6.66,50.68,0,0
9398,Run,6.86,50.78,0,0
